// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 12 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89\obj\Release\net8.0/" /p:OutDir="D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89\bin\Release\net8.0/" /p:OutputPath="D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89\bin\Release\net8.0/" in D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89
// command took 3.26 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89\obj\Release\net8.0/" /p:OutDir="D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89\bin\Release\net8.0/" /p:OutputPath="D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89\bin\Release\net8.0/" --output "D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89\bin\Release\net8.0/" in D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89
// command took 9.15 sec and exited with 0
// ***** Done, took 00:00:12 (12.63 sec)   *****
// Found 12 benchmarks:
//   BenchmarkTests.TambahTugas: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.AmbilTugas: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.CekTugasTersedia: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.HapusTugas: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.GetSemuaTugas: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.TambahTugasUntukStatus: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.HapusTugasDariStatus: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.GetTugasDariStatus: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.GetStatusDariTugas: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.SimpanJadwal: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.GetTugasKaryawan: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
//   BenchmarkTests.SelesaikanTugas: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: BenchmarkTests.TambahTugas: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 1c601d7f-df54-4117-80bb-2cc48c286d89.dll --anonymousPipes 1308 1352 --benchmarkName Tubes_PerformanceBenchmark.BenchmarkTests.TambahTugas --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.14 (8.0.1425.11118), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: Job-CCZBKE(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 200400.00 ns, 200.4000 us/op
WorkloadResult  13: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadResult  14: 1 op, 1900.00 ns, 1.9000 us/op
WorkloadResult  15: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadResult  16: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  17: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  18: 1 op, 2100.00 ns, 2.1000 us/op
WorkloadResult  19: 1 op, 2100.00 ns, 2.1000 us/op
WorkloadResult  20: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadResult  21: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  22: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  23: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  24: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  25: 1 op, 1300.00 ns, 1.3000 us/op
WorkloadResult  26: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  27: 1 op, 1400.00 ns, 1.4000 us/op
WorkloadResult  28: 1 op, 1300.00 ns, 1.3000 us/op
WorkloadResult  29: 1 op, 2000.00 ns, 2.0000 us/op
WorkloadResult  30: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  31: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  32: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  33: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  34: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  35: 1 op, 2000.00 ns, 2.0000 us/op
WorkloadResult  36: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  37: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  38: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadResult  39: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  40: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  41: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadResult  42: 1 op, 1900.00 ns, 1.9000 us/op
WorkloadResult  43: 1 op, 1900.00 ns, 1.9000 us/op
WorkloadResult  44: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  45: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  46: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  47: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  48: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadResult  49: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  50: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  51: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadResult  52: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadResult  53: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  54: 1 op, 2100.00 ns, 2.1000 us/op
WorkloadResult  55: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  56: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  57: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadResult  58: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadResult  59: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  60: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadResult  61: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadResult  62: 1 op, 2000.00 ns, 2.0000 us/op
WorkloadResult  63: 1 op, 2000.00 ns, 2.0000 us/op
WorkloadResult  64: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadResult  65: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  66: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadResult  67: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadResult  68: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadResult  69: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  70: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadResult  71: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadResult  72: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  73: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  74: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  75: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadResult  76: 1 op, 1600.00 ns, 1.6000 us/op
WorkloadResult  77: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  78: 1 op, 1900.00 ns, 1.9000 us/op
WorkloadResult  79: 1 op, 1900.00 ns, 1.9000 us/op
WorkloadResult  80: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  81: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadResult  82: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  83: 1 op, 1500.00 ns, 1.5000 us/op
WorkloadResult  84: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadResult  85: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  86: 1 op, 2200.00 ns, 2.2000 us/op
WorkloadResult  87: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  88: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  89: 1 op, 2100.00 ns, 2.1000 us/op
WorkloadResult  90: 1 op, 1900.00 ns, 1.9000 us/op
WorkloadResult  91: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  92: 1 op, 1900.00 ns, 1.9000 us/op
// GC:  0 0 0 616 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 6996 has exited with code 0.

Mean = 1.963 μs, StdErr = 0.057 μs (2.88%), N = 92, StdDev = 0.543 μs
Min = 1.300 μs, Q1 = 1.600 μs, Median = 1.800 μs, Q3 = 2.125 μs, Max = 3.600 μs
IQR = 0.525 μs, LowerFence = 0.812 μs, UpperFence = 2.913 μs
ConfidenceInterval = [1.771 μs; 2.155 μs] (CI 99.9%), Margin = 0.192 μs (9.80% of Mean)
Skewness = 1.26, Kurtosis = 3.73, MValue = 4

// ** Remained 7 (58,3%) benchmark(s) to run. Estimated finish 2025-05-04 16:38 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: BenchmarkTests.TambahTugasUntukStatus: Job-ADVCXL(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 1c601d7f-df54-4117-80bb-2cc48c286d89.dll --anonymousPipes 1624 1336 --benchmarkName Tubes_PerformanceBenchmark.BenchmarkTests.TambahTugasUntukStatus --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 5 in D:\ITTP\Semester 6\PRAKTIKUM KONSTRUKSI PERANGKAT LUNAK SE-06-01 [YIS]\VS Praktikum\Tubes_Kelompok_BisaYukk_Final\Tubes_Kelompok_BisaYukk_Benchmark\bin\Release\net8.0\1c601d7f-df54-4117-80bb-2cc48c286d89\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.14 (8.0.1425.11118), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: Job-EILLDH(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 233900.00 ns, 233.9000 us/op
WorkloadJitting  1: 1 op, 1172000.00 ns, 1.1720 ms/op

OverheadWarmup   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   6: 1 op, 500.00 ns, 500.0000 ns/op
OverheadWarmup   7: 1 op, 400.00 ns, 400.0000 ns/op

OverheadActual   1: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   2: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   4: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   5: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   6: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  11: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  12: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  13: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  14: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  15: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  16: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  19: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  20: 1 op, 200.00 ns, 200.0000 ns/op

WorkloadWarmup   1: 1 op, 38900.00 ns, 38.9000 us/op
WorkloadWarmup   2: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadWarmup   3: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadWarmup   4: 1 op, 6300.00 ns, 6.3000 us/op
WorkloadWarmup   5: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadWarmup   6: 1 op, 5100.00 ns, 5.1000 us/op
WorkloadWarmup   7: 1 op, 4700.00 ns, 4.7000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 14900.00 ns, 14.9000 us/op
WorkloadActual   2: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadActual   3: 1 op, 5600.00 ns, 5.6000 us/op
WorkloadActual   4: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual   5: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual   6: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual   7: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadActual   8: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual   9: 1 op, 13300.00 ns, 13.3000 us/op
WorkloadActual  10: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadActual  11: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual  12: 1 op, 6600.00 ns, 6.6000 us/op
WorkloadActual  13: 1 op, 5300.00 ns, 5.3000 us/op
WorkloadActual  14: 1 op, 4000.00 ns, 4.0000 us/op
WorkloadActual  15: 1 op, 5200.00 ns, 5.2000 us/op
WorkloadActual  16: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual  17: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadActual  18: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadActual  19: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadActual  20: 1 op, 13900.00 ns, 13.9000 us/op
WorkloadActual  21: 1 op, 6100.00 ns, 6.1000 us/op
WorkloadActual  22: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadActual  23: 1 op, 4800.00 ns, 4.8000 us/op
WorkloadActual  24: 1 op, 5500.00 ns, 5.5000 us/op
WorkloadActual  25: 1 op, 5600.00 ns, 5.6000 us/op
WorkloadActual  26: 1 op, 8000.00 ns, 8.0000 us/op
WorkloadActual  27: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadActual  28: 1 op, 4800.00 ns, 4.8000 us/op
WorkloadActual  29: 1 op, 5500.00 ns, 5.5000 us/op
WorkloadActual  30: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadActual  31: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  32: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadActual  33: 1 op, 4000.00 ns, 4.0000 us/op
WorkloadActual  34: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  35: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  36: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual  37: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadActual  38: 1 op, 6100.00 ns, 6.1000 us/op
WorkloadActual  39: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual  40: 1 op, 6900.00 ns, 6.9000 us/op
WorkloadActual  41: 1 op, 5700.00 ns, 5.7000 us/op
WorkloadActual  42: 1 op, 4700.00 ns, 4.7000 us/op
WorkloadActual  43: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadActual  44: 1 op, 6200.00 ns, 6.2000 us/op
WorkloadActual  45: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadActual  46: 1 op, 5600.00 ns, 5.6000 us/op
WorkloadActual  47: 1 op, 5500.00 ns, 5.5000 us/op
WorkloadActual  48: 1 op, 4900.00 ns, 4.9000 us/op
WorkloadActual  49: 1 op, 4700.00 ns, 4.7000 us/op
WorkloadActual  50: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadActual  51: 1 op, 4900.00 ns, 4.9000 us/op
WorkloadActual  52: 1 op, 5400.00 ns, 5.4000 us/op
WorkloadActual  53: 1 op, 4600.00 ns, 4.6000 us/op
WorkloadActual  54: 1 op, 5100.00 ns, 5.1000 us/op
WorkloadActual  55: 1 op, 5900.00 ns, 5.9000 us/op
WorkloadActual  56: 1 op, 4000.00 ns, 4.0000 us/op
WorkloadActual  57: 1 op, 9700.00 ns, 9.7000 us/op
WorkloadActual  58: 1 op, 8700.00 ns, 8.7000 us/op
WorkloadActual  59: 1 op, 7400.00 ns, 7.4000 us/op
WorkloadActual  60: 1 op, 5200.00 ns, 5.2000 us/op
WorkloadActual  61: 1 op, 7600.00 ns, 7.6000 us/op
WorkloadActual  62: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadActual  63: 1 op, 6500.00 ns, 6.5000 us/op
WorkloadActual  64: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual  65: 1 op, 8900.00 ns, 8.9000 us/op
WorkloadActual  66: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadActual  67: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadActual  68: 1 op, 6800.00 ns, 6.8000 us/op
WorkloadActual  69: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadActual  70: 1 op, 5500.00 ns, 5.5000 us/op
WorkloadActual  71: 1 op, 6900.00 ns, 6.9000 us/op
WorkloadActual  72: 1 op, 4600.00 ns, 4.6000 us/op
WorkloadActual  73: 1 op, 4800.00 ns, 4.8000 us/op
WorkloadActual  74: 1 op, 6900.00 ns, 6.9000 us/op
WorkloadActual  75: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual  76: 1 op, 10800.00 ns, 10.8000 us/op
WorkloadActual  77: 1 op, 7400.00 ns, 7.4000 us/op
WorkloadActual  78: 1 op, 6500.00 ns, 6.5000 us/op
WorkloadActual  79: 1 op, 4700.00 ns, 4.7000 us/op
WorkloadActual  80: 1 op, 5400.00 ns, 5.4000 us/op
WorkloadActual  81: 1 op, 6900.00 ns, 6.9000 us/op
WorkloadActual  82: 1 op, 5600.00 ns, 5.6000 us/op
WorkloadActual  83: 1 op, 6000.00 ns, 6.0000 us/op
WorkloadActual  84: 1 op, 4800.00 ns, 4.8000 us/op
WorkloadActual  85: 1 op, 4800.00 ns, 4.8000 us/op
WorkloadActual  86: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadActual  87: 1 op, 5100.00 ns, 5.1000 us/op
WorkloadActual  88: 1 op, 6700.00 ns, 6.7000 us/op
WorkloadActual  89: 1 op, 5000.00 ns, 5.0000 us/op
WorkloadActual  90: 1 op, 4800.00 ns, 4.8000 us/op
WorkloadActual  91: 1 op, 9600.00 ns, 9.6000 us/op
WorkloadActual  92: 1 op, 5900.00 ns, 5.9000 us/op
WorkloadActual  93: 1 op, 9200.00 ns, 9.2000 us/op
WorkloadActual  94: 1 op, 7800.00 ns, 7.8000 us/op
WorkloadActual  95: 1 op, 96400.00 ns, 96.4000 us/op
WorkloadActual  96: 1 op, 6200.00 ns, 6.2000 us/op
WorkloadActual  97: 1 op, 5700.00 ns, 5.7000 us/op
WorkloadActual  98: 1 op, 6100.00 ns, 6.1000 us/op
WorkloadActual  99: 1 op, 7100.00 ns, 7.1000 us/op
WorkloadActual  100: 1 op, 5500.00 ns, 5.5000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadResult   2: 1 op, 5400.00 ns, 5.4000 us/op
WorkloadResult   3: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadResult   4: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadResult   5: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadResult   6: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadResult   7: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadResult   8: 1 op, 8900.00 ns, 8.9000 us/op
WorkloadResult   9: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadResult  10: 1 op, 6400.00 ns, 6.4000 us/op
WorkloadResult  11: 1 op, 5100.00 ns, 5.1000 us/op
WorkloadResult  12: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadResult  13: 1 op, 5000.00 ns, 5.0000 us/op
WorkloadResult  14: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadResult  15: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadResult  16: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadResult  17: 1 op, 8900.00 ns, 8.9000 us/op
WorkloadResult  18: 1 op, 5900.00 ns, 5.9000 us/op
WorkloadResult  19: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadResult  20: 1 op, 4600.00 ns, 4.6000 us/op
WorkloadResult  21: 1 op, 5300.00 ns, 5.3000 us/op
WorkloadResult  22: 1 op, 5400.00 ns, 5.4000 us/op
WorkloadResult  23: 1 op, 7800.00 ns, 7.8000 us/op
WorkloadResult  24: 1 op, 4000.00 ns, 4.0000 us/op
WorkloadResult  25: 1 op, 4600.00 ns, 4.6000 us/op
WorkloadResult  26: 1 op, 5300.00 ns, 5.3000 us/op
WorkloadResult  27: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadResult  28: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadResult  29: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadResult  30: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadResult  31: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadResult  32: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadResult  33: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadResult  34: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadResult  35: 1 op, 5900.00 ns, 5.9000 us/op
WorkloadResult  36: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadResult  37: 1 op, 6700.00 ns, 6.7000 us/op
WorkloadResult  38: 1 op, 5500.00 ns, 5.5000 us/op
WorkloadResult  39: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadResult  40: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadResult  41: 1 op, 6000.00 ns, 6.0000 us/op
WorkloadResult  42: 1 op, 5400.00 ns, 5.4000 us/op
WorkloadResult  43: 1 op, 5300.00 ns, 5.3000 us/op
WorkloadResult  44: 1 op, 4700.00 ns, 4.7000 us/op
WorkloadResult  45: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadResult  46: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadResult  47: 1 op, 4700.00 ns, 4.7000 us/op
WorkloadResult  48: 1 op, 5200.00 ns, 5.2000 us/op
WorkloadResult  49: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadResult  50: 1 op, 4900.00 ns, 4.9000 us/op
WorkloadResult  51: 1 op, 5700.00 ns, 5.7000 us/op
WorkloadResult  52: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadResult  53: 1 op, 9500.00 ns, 9.5000 us/op
WorkloadResult  54: 1 op, 8500.00 ns, 8.5000 us/op
WorkloadResult  55: 1 op, 7200.00 ns, 7.2000 us/op
WorkloadResult  56: 1 op, 5000.00 ns, 5.0000 us/op
WorkloadResult  57: 1 op, 7400.00 ns, 7.4000 us/op
WorkloadResult  58: 1 op, 4000.00 ns, 4.0000 us/op
WorkloadResult  59: 1 op, 6300.00 ns, 6.3000 us/op
WorkloadResult  60: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadResult  61: 1 op, 8700.00 ns, 8.7000 us/op
WorkloadResult  62: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadResult  63: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadResult  64: 1 op, 6600.00 ns, 6.6000 us/op
WorkloadResult  65: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadResult  66: 1 op, 5300.00 ns, 5.3000 us/op
WorkloadResult  67: 1 op, 6700.00 ns, 6.7000 us/op
WorkloadResult  68: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadResult  69: 1 op, 4600.00 ns, 4.6000 us/op
WorkloadResult  70: 1 op, 6700.00 ns, 6.7000 us/op
WorkloadResult  71: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadResult  72: 1 op, 7200.00 ns, 7.2000 us/op
WorkloadResult  73: 1 op, 6300.00 ns, 6.3000 us/op
WorkloadResult  74: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadResult  75: 1 op, 5200.00 ns, 5.2000 us/op
WorkloadResult  76: 1 op, 6700.00 ns, 6.7000 us/op
WorkloadResult  77: 1 op, 5400.00 ns, 5.4000 us/op
